url;titulo;subeditoria;data;resumo;texto_completo;imagem
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46255-ibge-atualiza-dados-geograficos-de-estados-e-municipios-brasileiros-para-o-ano-de-2025;IBGE atualiza dados geográficos de estados e municípios brasileiros para o ano de 2025;Geociências;30/03/2026;O IBGE divulga hoje (30) a atualização de cinco estudos anuais de Geociências: Malha Municipal Digital, Atualização dos Mapas Municipais, Áreas Territoriais...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/foto_roberto_dziura_jr_aen.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46245-ibge-disponibiliza-agenda-semanal-com-programacoes-para-os-dias-30-de-marco-a-3-de-abril;IBGE disponibiliza Agenda semanal com programações para os dias 30 de março a 3 de abril;;30/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) disponibilizou hoje (3) a Agenda IBGE para a semana dos dias 30 de março a 3 de abril. A...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2024_02/Agenda-IBGE_THUMB.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46250-mais-de-800-pessoas-participaram-da-oficina-de-divulgacao-das-acoes-da-segunda-prova-piloto-do-censo-agropecuario-florestal-e-aquicola;Mais de 900 pessoas participaram da oficina de divulgação das ações da segunda prova-piloto do Censo Agropecuário Florestal e Aquícola;12º Censo Agro;27/03/2026;Um pool de comunicação conectou, na tarde desta sexta-feira (27), as seis cidades que receberão a 2ª Prova-Piloto do 12º Censo Agropecuário Florestal...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/oficina_para_4.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46243-ibge-realiza-oficinas-e-atendimentos-no-primeiro-dia-da-caravana-federativa-no-rio-de-janeiro;IBGE realiza oficinas e atendimentos no primeiro dia da Caravana Federativa no Rio de Janeiro;Caravana Federativa;27/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) começou, nesta quinta-feira (26), sua participação na Caravana Federativa do Rio de Janeiro....;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/FOTO_2_-_Estande_do_IBGE_recebeu_visitantes_de_diversas_prefeituras_do_Estado_do_Rio_de_Janeiro.jpeg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46207-desemprego-cresce-no-trimestre-encerrado-em-fevereiro-com-perda-de-vagas-na-saude-educacao-e-construcao;Desemprego cresce no trimestre encerrado em fevereiro, com perda de vagas na saúde, educação e construção;PNAD Contínua Mensal;27/03/2026;Influenciada por perda de vagas nos segmentos de saúde, educação e construção, comum no início do ano, a taxa de desocupação voltou a crescer, chegando...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_economicas/2026_03/emprego_HOME_RovenaRosa-AgBrasil.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46227-ibge-divulga-o-panorama-mulheres-no-censo-2022;"IBGE divulga Panorama ""Mulheres no Censo 2022""";Censo 2022;26/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) divulgou, nesta quinta-feira (26), o Panorama Mulheres no Censo 2022 – Resultados do Universo...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/DSC_0193.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46220-em-niteroi-ibge-aproxima-servicos-da-populacao-e-de-gestores-publicos-durante-a-caravana-federativa;Em Niterói, IBGE aproxima serviços da população e de gestores públicos durante a Caravana Federativa;Caravana Federativa;26/03/2026;Nos dias 26 e 27 de março, o Instituto Brasileiro de Geografia e Estatística (IBGE) aproxima seus serviços e pesquisas dos gestores públicos e da...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/Banner_Interno_Matria.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46209-alimentos-e-despesas-pessoais-pressionam-e-ipca-15-fica-em-0-44-em-marco;Alimentos e despesas pessoais pressionam e IPCA-15 fica em 0,44% em março;Prévia da inflação;26/03/2026;A prévia da inflação ficou em 0,44% em março, 0,40 ponto percentual (p.p.) abaixo de fevereiro, quando variou 0,84%. O resultado foi influenciado,...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_economicas/2026_03/IPCA15_2-CORTE-HelenaPontes.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46213-com-ministerios-da-educacao-e-saude-ibge-divulga-dados-da-pesquisa-nacional-de-saude-do-escolar-2024;Com Ministérios da Educação e Saúde, IBGE divulga dados da Pesquisa Nacional de Saúde do Escolar 2024;PeNSE;25/03/2026;Pesquisadores do IBGE, representantes dos ministérios da Educação e da Saúde e jornalistas da imprensa nacional se reuniram nesta quarta-feira (25),...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/penseev5.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46210-pela-primeira-vez-presidente-do-banco-central-visita-a-sede-do-ibge-no-rio;Pela primeira vez, presidente do Banco Central visita a sede do IBGE no Rio;IBGE;25/03/2026;O presidente do Banco Central, Gabriel Galípolo, realizou, nesta quarta-feira (25), uma visita institucional à sede do IBGE, no Rio de Janeiro —...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/20260325_1057210_1.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46203-ibge-participa-de-celebracao-dos-20-anos-do-instituto-maranhense-de-estudos-socioeconomicos-e-cartograficos;IBGE participa de celebração dos 20 anos do Instituto Maranhense de Estudos Socioeconômicos e Cartográficos;IBGE;25/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) participou, na quinta-feira (19/3), das celebrações dos 20 anos do Instituto Maranhense...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/O_IMESC_iniciou_hoje_a_programao_dos_seus_20_anos_reunindo_pesquisadores_gestores_e_convidado.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46174-maioria-das-violencias-sexuais-ocorrem-no-contexto-familiar-aponta-pense-2024;Maioria das violências sexuais ocorrem no contexto familiar, aponta PeNSE 2024;PeNSE;25/03/2026;A 5ª edição da Pesquisa Nacional de Saúde do Escolar (PeNSE), realizada em 2024, pelo Instituto Brasileiro de Geografia e Estatística (IBGE), em...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_sociais/2026_03/PENSE-CORTE-MARCOS-PIXABAY.jpg
